experiment,dataset,model,test_auc,test_logloss,train_time_sec,qps,num_params,status,HR@5,Recall@5,NDCG@5,MRR@5,Precision@5,HR@10,Recall@10,NDCG@10,MRR@10,Precision@10,HR@20,Recall@20,NDCG@20,MRR@20,Precision@20,din_train_time,lgb_train_time,din_num_params,lgb_num_params
exp2_method_compare,ml-100k,DIN,0.9183620720493512,0.4439103814348076,83.50555229187012,30102.128348676713,233463,success,0.4,0.4,0.26500907317534667,0.22122807017543863,0.08,0.5894736842105263,0.5894736842105263,0.3270064600523302,0.2472263993316625,0.05894736842105262,0.7894736842105263,0.7894736842105263,0.3787014375303074,0.26198836572512635,0.039473684210526314,,,,
exp2_method_compare,ml-100k,GRU4Rec,0.8959364765507847,0.5187229527742614,83.92195534706116,29613.92878141169,239857,success,0.35789473684210527,0.35789473684210527,0.23661172538428446,0.19719298245614034,0.07157894736842105,0.5263157894736842,0.5263157894736842,0.29213081344513936,0.22068922305764405,0.05263157894736842,0.7789473684210526,0.7789473684210526,0.35667705962244456,0.23877722444122962,0.03894736842105263,,,,
exp2_method_compare,ml-100k,SASRec,0.9135665391291868,0.41253083189446504,220.9938063621521,19245.250576674844,318257,success,0.5368421052631579,0.5368421052631579,0.3742139700275917,0.32105263157894737,0.10736842105263159,0.7473684210526316,0.7473684210526316,0.4432289007642243,0.3500584795321638,0.07473684210526316,0.8210526315789474,0.8210526315789474,0.46202123102938786,0.3553014718339797,0.04105263157894737,,,,
exp2_method_compare,ml-100k,NARM,0.8912806045814402,0.522800021946989,87.47793650627136,29734.45733463878,256369,success,0.4631578947368421,0.4631578947368421,0.31299014489266946,0.26280701754385966,0.09263157894736843,0.631578947368421,0.631578947368421,0.3688915300446266,0.28672096908939015,0.06315789473684211,0.8,0.8,0.412162409168306,0.29895017091611514,0.04,,,,
exp2_method_compare,ml-100k,AvgPool,0.9162920577712507,0.4178763634808899,229.57116079330444,30027.34410778206,214897,success,0.4,0.4,0.2846476599956557,0.24614035087719294,0.08,0.6421052631578947,0.6421052631578947,0.3650371878972374,0.2805263157894737,0.06421052631578947,0.7894736842105263,0.7894736842105263,0.40234676257737273,0.2907773064026119,0.039473684210526314,,,,
exp2_method_compare,ml-100k,LightGBM,0.8348098060535563,0.4312439578012111,12.195115327835083,,15500,success,0.2631578947368421,0.2631578947368421,0.16484825838104306,0.13280701754385965,0.05263157894736842,0.3368421052631579,0.3368421052631579,0.18908519728838952,0.14304928989139515,0.03368421052631579,0.6736842105263158,0.6736842105263158,0.27297517240797803,0.16539343263149683,0.03368421052631579,,,,
exp2_hybrid,ml-100k,DIN+LightGBM,0.916115396350741,0.4574439596294444,119.04791569709778,,236315,success,0.4105263157894737,0.4105263157894737,0.2814791043957372,0.23912280701754385,0.08210526315789474,0.5578947368421052,0.5578947368421052,0.3310791588539881,0.26073934837092727,0.05578947368421052,0.7578947368421053,0.7578947368421053,0.3831479324534293,0.2758012163275321,0.037894736842105266,83.50555229187012,35.54236340522766,233463.0,2852.0
