experiment,dataset,seq_length,model,test_auc,test_logloss,best_valid_auc,train_time_sec,qps,num_params,status,HR@5,Recall@5,NDCG@5,MRR@5,Precision@5,HR@10,Recall@10,NDCG@10,MRR@10,Precision@10,HR@20,Recall@20,NDCG@20,MRR@20,Precision@20
exp1_seq_model,ml-1m,20,DIN,0.958366246253177,0.2805866559855467,0.9587711068409562,1756.645530462265,6791.55427978606,460279.0,success,0.6291390728476821,0.6291390728476821,0.46696519005791576,0.4131898454746137,0.12582781456953643,0.7582781456953642,0.7582781456953642,0.5086029051965525,0.4303203510984968,0.07582781456953643,0.8625827814569537,0.8625827814569537,0.5351281537719338,0.43768161406153994,0.04312913907284768
exp1_seq_model,ml-1m,20,GRU4Rec,0.960798343577035,0.27018314178425623,0.9611765168755056,2388.5136959552765,8215.893314234823,466673.0,success,0.6788079470198676,0.6788079470198676,0.501073390942734,0.4420529801324503,0.1357615894039735,0.7798013245033113,0.7798013245033113,0.5342573428391716,0.45604567434037635,0.07798013245033113,0.8791390728476821,0.8791390728476821,0.5595567601092525,0.46308467105302703,0.043956953642384104
exp1_seq_model,ml-1m,20,SASRec,0.9663362499593502,0.24922800527077374,0.9651596350280258,3031.4651577472687,19675.584233873244,543153.0,success,0.6837748344370861,0.6837748344370861,0.5191265287231503,0.4640452538631346,0.13675496688741723,0.7996688741721855,0.7996688741721855,0.5565004531029846,0.47939661515820453,0.07996688741721855,0.8758278145695364,0.8758278145695364,0.5759116410824137,0.4848163017747112,0.04379139072847682
exp1_seq_model,ml-1m,20,NARM,0.9611625250558236,0.2657039286625439,0.9612071532515004,1533.0784487724304,18127.967312852372,483185.0,success,0.6539735099337748,0.6539735099337748,0.4832408711748913,0.4264900662251656,0.13079470198675497,0.7831125827814569,0.7831125827814569,0.5255038013268547,0.444228949858089,0.0783112582781457,0.8841059602649006,0.8841059602649006,0.5509848406562213,0.4511979478184525,0.044205298013245034
exp1_seq_model,ml-1m,20,AvgPool,0.9546408804517416,0.2944312955910639,0.9537589548758232,2251.989452600479,29962.755007354273,441713.0,success,0.5910596026490066,0.5910596026490066,0.43363489526958787,0.38170529801324504,0.11821192052980131,0.7235099337748344,0.7235099337748344,0.4766324481819196,0.39954404499106483,0.07235099337748344,0.847682119205298,0.847682119205298,0.5082636504037664,0.4083562832699778,0.0423841059602649
exp1_seq_model,ml-1m,50,DIN,0.9532061214141001,0.29305215049888267,0.9534727665770519,913.9973380565643,28062.74240583004,460279.0,success,0.5877483443708609,0.5877483443708609,0.4166255365107466,0.359878587196468,0.11754966887417218,0.7400662251655629,0.7400662251655629,0.46613138313254754,0.3804622621675602,0.07400662251655629,0.859271523178808,0.859271523178808,0.4963200325653821,0.3887776848971439,0.0429635761589404
exp1_seq_model,ml-1m,50,GRU4Rec,0.9514764744225704,0.298874929449658,0.9509391805585344,1020.8566179275513,44015.184288406694,466673.0,success,0.5894039735099338,0.5894039735099338,0.4201523220660326,0.3643487858719647,0.11788079470198676,0.7317880794701986,0.7317880794701986,0.4658901896983821,0.3830481972038263,0.07317880794701986,0.8427152317880795,0.8427152317880795,0.49434815692767725,0.39107464919306256,0.04213576158940398
exp1_seq_model,ml-1m,50,SASRec,0.9631899356961973,0.26289823072757906,0.9629747711349064,2074.3465871810913,41013.1964402041,545073.0,success,0.6423841059602649,0.6423841059602649,0.480680983673101,0.4269039735099338,0.12847682119205298,0.7599337748344371,0.7599337748344371,0.5193167476055793,0.4432132345211815,0.07599337748344372,0.847682119205298,0.847682119205298,0.5418924094408087,0.44961522419202643,0.0423841059602649
exp1_seq_model,ml-1m,50,NARM,0.9509360219038836,0.29978102136806284,0.953003534306401,981.023087978363,39672.63404279689,483185.0,success,0.5844370860927153,0.5844370860927153,0.3982405507583132,0.3370033112582781,0.11688741721854305,0.75,0.75,0.45199951892196144,0.3593148848943551,0.075,0.8559602649006622,0.8559602649006622,0.4793157481942436,0.3670883304378015,0.042798013245033115
exp1_seq_model,ml-1m,50,AvgPool,0.945328372612145,0.32247376112296805,0.9458309368980808,2109.485226392746,28368.48931029865,441713.0,success,0.5364238410596026,0.5364238410596026,0.37256104314309285,0.31818432671081676,0.10728476821192053,0.6937086092715232,0.6937086092715232,0.4230853438032354,0.3388461841690319,0.06937086092715232,0.8360927152317881,0.8360927152317881,0.45896572745188796,0.3486414502543431,0.0418046357615894
exp1_seq_model,ml-1m,100,DIN,0.9465936922480402,0.3124097038265936,0.9475914177004444,1006.0663547515869,30380.55414694185,460279.0,success,0.5413907284768212,0.5413907284768212,0.38536185330876443,0.3334988962472406,0.10827814569536424,0.7135761589403974,0.7135761589403974,0.44130469075578116,0.356729606853779,0.07135761589403974,0.8394039735099338,0.8394039735099338,0.47332739538652285,0.3656372991359818,0.04197019867549669
exp1_seq_model,ml-1m,100,GRU4Rec,0.932377489776141,0.36003615829040464,0.9338670570845828,1124.2847335338593,31113.82582536028,466673.0,success,0.48841059602649006,0.48841059602649006,0.34813830866246703,0.30182119205298014,0.09768211920529801,0.6556291390728477,0.6556291390728477,0.4020680854951069,0.3239934826027541,0.06556291390728478,0.8195364238410596,0.8195364238410596,0.4436038743353867,0.33543615494765466,0.04097682119205298
exp1_seq_model,ml-1m,100,SASRec,0.9583868211104996,0.27570687725836335,0.9579604130385713,2153.7293741703033,24276.090181557356,548273.0,success,0.6258278145695364,0.6258278145695364,0.46356859919513327,0.4097958057395143,0.1251655629139073,0.7350993377483444,0.7350993377483444,0.49872111034587285,0.424193209292547,0.07350993377483443,0.8526490066225165,0.8526490066225165,0.5287555450561459,0.432600653543337,0.042632450331125823
